=== Run information ===

Scheme:       weka.classifiers.meta.Stacking -X 10 -M "weka.classifiers.rules.ZeroR " -S 1 -num-slots 1 -B "weka.classifiers.rules.ZeroR "
Relation:     soybean
Instances:    683
Attributes:   36
              date
              plant-stand
              precip
              temp
              hail
              crop-hist
              area-damaged
              severity
              seed-tmt
              germination
              plant-growth
              leaves
              leafspots-halo
              leafspots-marg
              leafspot-size
              leaf-shread
              leaf-malf
              leaf-mild
              stem
              lodging
              stem-cankers
              canker-lesion
              fruiting-bodies
              external-decay
              mycelium
              int-discolor
              sclerotia
              fruit-pods
              fruit-spots
              seed
              mold-growth
              seed-discolor
              seed-size
              shriveling
              roots
              class
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

Stacking

Base classifiers

ZeroR predicts class value: brown-spot
       37 4:phytophthora-rot 8:brown-spot   +   0.132 
       38 4:phytophthora-rot 8:brown-spot   +   0.132 
       39 4:phytophthora-rot 8:brown-spot   +   0.132 
       40 4:phytophthora-rot 8:brown-spot   +   0.132 
       41 4:phytophthora-rot 8:brown-spot   +   0.132 
       42 4:phytophthora-rot 8:brown-spot   +   0.132 
       43 4:phytophthora-rot 8:brown-spot   +   0.132 
       44 4:phytophthora-rot 8:brown-spot   +   0.132 
       45 4:phytophthora-rot 8:brown-spot   +   0.132 
       46 4:phytophthora-rot 8:brown-spot   +   0.132 
       47 4:phytophthora-rot 8:brown-spot   +   0.132 
       48 4:phytophthora-rot 8:brown-spot   +   0.132 
       49 4:phytophthora-rot 8:brown-spot   +   0.132 
       50 4:phytophthora-rot 8:brown-spot   +   0.132 
       51 4:phytophthora-rot 8:brown-spot   +   0.132 
       52 4:phytophthora-rot 8:brown-spot   +   0.132 
       53 4:phytophthora-rot 8:brown-spot   +   0.132 
       54 4:phytophthora-rot 8:brown-spot   +   0.132 
       55 4:phytophthora-rot 8:brown-spot   +   0.132 
       56 4:phytophthora-rot 8:brown-spot   +   0.132 
       57 4:phytophthora-rot 8:brown-spot   +   0.132 
       58 4:phytophthora-rot 8:brown-spot   +   0.132 
       59 4:phytophthora-rot 8:brown-spot   +   0.132 
       60 4:phytophthora-rot 8:brown-spot   +   0.132 
       61 4:phytophthora-rot 8:brown-spot   +   0.132 
       62 4:phytophthora-rot 8:brown-spot   +   0.132 
       63 4:phytophthora-rot 8:brown-spot   +   0.132 
       64 4:phytophthora-rot 8:brown-spot   +   0.132 
       65 4:phytophthora-rot 8:brown-spot   +   0.132 
       66 4:phytophthora-rot 8:brown-spot   +   0.132 
       67 4:phytophthora-rot 8:brown-spot   +   0.132 
       68 4:phytophthora-rot 8:brown-spot   +   0.132 
       69 4:phytophthora-rot 8:brown-spot   +   0.132 
       70 4:phytophthora-rot 8:brown-spot   +   0.132 
       71 5:brown-stem-rot 8:brown-spot   +   0.132 
       72 5:brown-stem-rot 8:brown-spot   +   0.132 
       73 5:brown-stem-rot 8:brown-spot   +   0.132 
       74 5:brown-stem-rot 8:brown-spot   +   0.132 
       75 5:brown-stem-rot 8:brown-spot   +   0.132 
       76 5:brown-stem-rot 8:brown-spot   +   0.132 
       77 5:brown-stem-rot 8:brown-spot   +   0.132 
       78 5:brown-stem-rot 8:brown-spot   +   0.132 
       79 5:brown-stem-rot 8:brown-spot   +   0.132 
       80 5:brown-stem-rot 8:brown-spot   +   0.132 
       81 5:brown-stem-rot 8:brown-spot   +   0.132 
       82 5:brown-stem-rot 8:brown-spot   +   0.132 
       83 5:brown-stem-rot 8:brown-spot   +   0.132 
       84 5:brown-stem-rot 8:brown-spot   +   0.132 
       85 5:brown-stem-rot 8:brown-spot   +   0.132 
       86 5:brown-stem-rot 8:brown-spot   +   0.132 
       87 5:brown-stem-rot 8:brown-spot   +   0.132 
       88 5:brown-stem-rot 8:brown-spot   +   0.132 
       89 5:brown-stem-rot 8:brown-spot   +   0.132 
       90 5:brown-stem-rot 8:brown-spot   +   0.132 
       91 6:powdery-mildew 8:brown-spot   +   0.132 
       92 6:powdery-mildew 8:brown-spot   +   0.132 
       93 6:powdery-mildew 8:brown-spot   +   0.132 
       94 6:powdery-mildew 8:brown-spot   +   0.132 
       95 6:powdery-mildew 8:brown-spot   +   0.132 
       96 6:powdery-mildew 8:brown-spot   +   0.132 
       97 6:powdery-mildew 8:brown-spot   +   0.132 
       98 6:powdery-mildew 8:brown-spot   +   0.132 
       99 6:powdery-mildew 8:brown-spot   +   0.132 
      100 6:powdery-mildew 8:brown-spot   +   0.132 
      101 7:downy-mildew 8:brown-spot   +   0.132 
      102 7:downy-mildew 8:brown-spot   +   0.132 
      103 7:downy-mildew 8:brown-spot   +   0.132 
      104 7:downy-mildew 8:brown-spot   +   0.132 
      105 7:downy-mildew 8:brown-spot   +   0.132 
      106 7:downy-mildew 8:brown-spot   +   0.132 
      107 7:downy-mildew 8:brown-spot   +   0.132 
      108 7:downy-mildew 8:brown-spot   +   0.132 
      109 7:downy-mildew 8:brown-spot   +   0.132 
      110 7:downy-mildew 8:brown-spot   +   0.132 
      111 8:brown-spot 8:brown-spot       0.132 
      112 8:brown-spot 8:brown-spot       0.132 
      113 8:brown-spot 8:brown-spot       0.132 
      114 8:brown-spot 8:brown-spot       0.132 
      115 8:brown-spot 8:brown-spot       0.132 
      116 8:brown-spot 8:brown-spot       0.132 
      117 8:brown-spot 8:brown-spot       0.132 
      118 8:brown-spot 8:brown-spot       0.132 
      119 8:brown-spot 8:brown-spot       0.132 
      120 8:brown-spot 8:brown-spot       0.132 
      121 8:brown-spot 8:brown-spot       0.132 
      122 8:brown-spot 8:brown-spot       0.132 
      123 8:brown-spot 8:brown-spot       0.132 
      124 8:brown-spot 8:brown-spot       0.132 
      125 8:brown-spot 8:brown-spot       0.132 
      126 8:brown-spot 8:brown-spot       0.132 
      127 8:brown-spot 8:brown-spot       0.132 
      128 8:brown-spot 8:brown-spot       0.132 
      129 8:brown-spot 8:brown-spot       0.132 
      130 8:brown-spot 8:brown-spot       0.132 
      131 8:brown-spot 8:brown-spot       0.132 
      132 8:brown-spot 8:brown-spot       0.132 
      133 8:brown-spot 8:brown-spot       0.132 
      134 8:brown-spot 8:brown-spot       0.132 
      135 8:brown-spot 8:brown-spot       0.132 
      136 8:brown-spot 8:brown-spot       0.132 
      137 8:brown-spot 8:brown-spot       0.132 
      138 8:brown-spot 8:brown-spot       0.132 
      139 8:brown-spot 8:brown-spot       0.132 
      140 8:brown-spot 8:brown-spot       0.132 
      141 8:brown-spot 8:brown-spot       0.132 
      142 8:brown-spot 8:brown-spot       0.132 
      143 8:brown-spot 8:brown-spot       0.132 
      144 8:brown-spot 8:brown-spot       0.132 
      145 8:brown-spot 8:brown-spot       0.132 
      146 8:brown-spot 8:brown-spot       0.132 
      147 8:brown-spot 8:brown-spot       0.132 
      148 8:brown-spot 8:brown-spot       0.132 
      149 8:brown-spot 8:brown-spot       0.132 
      150 8:brown-spot 8:brown-spot       0.132 
      151 9:bacterial-blight 8:brown-spot   +   0.132 
      152 9:bacterial-blight 8:brown-spot   +   0.132 
      153 9:bacterial-blight 8:brown-spot   +   0.132 
      154 9:bacterial-blight 8:brown-spot   +   0.132 
      155 9:bacterial-blight 8:brown-spot   +   0.132 
      156 9:bacterial-blight 8:brown-spot   +   0.132 
      157 9:bacterial-blight 8:brown-spot   +   0.132 
      158 9:bacterial-blight 8:brown-spot   +   0.132 
      159 9:bacterial-blight 8:brown-spot   +   0.132 
      160 9:bacterial-blight 8:brown-spot   +   0.132 
      161 10:bacterial-pustule 8:brown-spot   +   0.132 
      162 10:bacterial-pustule 8:brown-spot   +   0.132 
      163 10:bacterial-pustule 8:brown-spot   +   0.132 
      164 10:bacterial-pustule 8:brown-spot   +   0.132 
      165 10:bacterial-pustule 8:brown-spot   +   0.132 
      166 10:bacterial-pustule 8:brown-spot   +   0.132 
      167 10:bacterial-pustule 8:brown-spot   +   0.132 
      168 10:bacterial-pustule 8:brown-spot   +   0.132 
      169 10:bacterial-pustule 8:brown-spot   +   0.132 
      170 10:bacterial-pustule 8:brown-spot   +   0.132 
      171 11:purple-seed-stain 8:brown-spot   +   0.132 
      172 11:purple-seed-stain 8:brown-spot   +   0.132 
      173 11:purple-seed-stain 8:brown-spot   +   0.132 
      174 11:purple-seed-stain 8:brown-spot   +   0.132 
      175 11:purple-seed-stain 8:brown-spot   +   0.132 
      176 11:purple-seed-stain 8:brown-spot   +   0.132 
      177 11:purple-seed-stain 8:brown-spot   +   0.132 
      178 11:purple-seed-stain 8:brown-spot   +   0.132 
      179 11:purple-seed-stain 8:brown-spot   +   0.132 
      180 11:purple-seed-stain 8:brown-spot   +   0.132 
      181 12:anthracnose 8:brown-spot   +   0.132 
      182 12:anthracnose 8:brown-spot   +   0.132 
      183 12:anthracnose 8:brown-spot   +   0.132 
      184 12:anthracnose 8:brown-spot   +   0.132 
      185 12:anthracnose 8:brown-spot   +   0.132 
      186 12:anthracnose 8:brown-spot   +   0.132 
      187 12:anthracnose 8:brown-spot   +   0.132 
      188 12:anthracnose 8:brown-spot   +   0.132 
      189 12:anthracnose 8:brown-spot   +   0.132 
      190 12:anthracnose 8:brown-spot   +   0.132 
      191 12:anthracnose 8:brown-spot   +   0.132 
      192 12:anthracnose 8:brown-spot   +   0.132 
      193 12:anthracnose 8:brown-spot   +   0.132 
      194 12:anthracnose 8:brown-spot   +   0.132 
      195 12:anthracnose 8:brown-spot   +   0.132 
      196 12:anthracnose 8:brown-spot   +   0.132 
      197 12:anthracnose 8:brown-spot   +   0.132 
      198 12:anthracnose 8:brown-spot   +   0.132 
      199 12:anthracnose 8:brown-spot   +   0.132 
      200 12:anthracnose 8:brown-spot   +   0.132 
      201 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      202 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      203 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      204 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      205 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      206 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      207 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      208 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      209 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      210 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      211 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      212 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      213 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      214 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      215 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      216 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      217 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      218 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      219 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      220 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      221 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      222 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      223 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      224 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      225 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      226 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      227 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      228 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      229 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      230 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      231 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      232 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      233 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      234 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      235 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      236 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      237 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      238 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      239 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      240 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      241 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      242 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      243 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      244 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      245 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      246 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      247 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      248 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      249 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      250 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      251 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      252 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      253 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      254 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      255 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      256 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      257 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      258 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      259 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      260 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      261 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      262 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      263 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      264 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      265 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      266 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      267 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      268 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      269 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      270 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      271 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      272 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      273 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      274 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      275 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      276 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      277 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      278 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      279 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      280 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      281 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      282 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      283 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      284 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      285 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      286 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      287 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      288 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      289 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      290 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      291 16:diaporthe-pod-&-stem-blight 8:brown-spot   +   0.132 
      292 16:diaporthe-pod-&-stem-blight 8:brown-spot   +   0.132 
      293 16:diaporthe-pod-&-stem-blight 8:brown-spot   +   0.132 
      294 16:diaporthe-pod-&-stem-blight 8:brown-spot   +   0.132 
      295 16:diaporthe-pod-&-stem-blight 8:brown-spot   +   0.132 
      296 16:diaporthe-pod-&-stem-blight 8:brown-spot   +   0.132 
      297 17:cyst-nematode 8:brown-spot   +   0.132 
      298 17:cyst-nematode 8:brown-spot   +   0.132 
      299 17:cyst-nematode 8:brown-spot   +   0.132 
      300 17:cyst-nematode 8:brown-spot   +   0.132 
      301 17:cyst-nematode 8:brown-spot   +   0.132 
      302 17:cyst-nematode 8:brown-spot   +   0.132 
      303 18:2-4-d-injury 8:brown-spot   +   0.132 
      304 19:herbicide-injury 8:brown-spot   +   0.132 
      305 19:herbicide-injury 8:brown-spot   +   0.132 
      306 19:herbicide-injury 8:brown-spot   +   0.132 
      307 19:herbicide-injury 8:brown-spot   +   0.132 
      308 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
      309 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
      310 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
      311 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
      312 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
      313 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
      314 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
      315 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
      316 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
      317 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
      318 2:charcoal-rot 8:brown-spot   +   0.132 
      319 2:charcoal-rot 8:brown-spot   +   0.132 
      320 2:charcoal-rot 8:brown-spot   +   0.132 
      321 2:charcoal-rot 8:brown-spot   +   0.132 
      322 2:charcoal-rot 8:brown-spot   +   0.132 
      323 2:charcoal-rot 8:brown-spot   +   0.132 
      324 2:charcoal-rot 8:brown-spot   +   0.132 
      325 2:charcoal-rot 8:brown-spot   +   0.132 
      326 2:charcoal-rot 8:brown-spot   +   0.132 
      327 2:charcoal-rot 8:brown-spot   +   0.132 
      328 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
      329 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
      330 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
      331 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
      332 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
      333 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
      334 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
      335 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
      336 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
      337 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
      338 4:phytophthora-rot 8:brown-spot   +   0.132 
      339 4:phytophthora-rot 8:brown-spot   +   0.132 
      340 4:phytophthora-rot 8:brown-spot   +   0.132 
      341 4:phytophthora-rot 8:brown-spot   +   0.132 
      342 4:phytophthora-rot 8:brown-spot   +   0.132 
      343 4:phytophthora-rot 8:brown-spot   +   0.132 
      344 4:phytophthora-rot 8:brown-spot   +   0.132 
      345 4:phytophthora-rot 8:brown-spot   +   0.132 
      346 4:phytophthora-rot 8:brown-spot   +   0.132 
      347 4:phytophthora-rot 8:brown-spot   +   0.132 
      348 4:phytophthora-rot 8:brown-spot   +   0.132 
      349 4:phytophthora-rot 8:brown-spot   +   0.132 
      350 4:phytophthora-rot 8:brown-spot   +   0.132 
      351 4:phytophthora-rot 8:brown-spot   +   0.132 
      352 4:phytophthora-rot 8:brown-spot   +   0.132 
      353 4:phytophthora-rot 8:brown-spot   +   0.132 
      354 4:phytophthora-rot 8:brown-spot   +   0.132 
      355 4:phytophthora-rot 8:brown-spot   +   0.132 
      356 4:phytophthora-rot 8:brown-spot   +   0.132 
      357 4:phytophthora-rot 8:brown-spot   +   0.132 
      358 4:phytophthora-rot 8:brown-spot   +   0.132 
      359 4:phytophthora-rot 8:brown-spot   +   0.132 
      360 4:phytophthora-rot 8:brown-spot   +   0.132 
      361 4:phytophthora-rot 8:brown-spot   +   0.132 
      362 4:phytophthora-rot 8:brown-spot   +   0.132 
      363 4:phytophthora-rot 8:brown-spot   +   0.132 
      364 4:phytophthora-rot 8:brown-spot   +   0.132 
      365 4:phytophthora-rot 8:brown-spot   +   0.132 
      366 4:phytophthora-rot 8:brown-spot   +   0.132 
      367 4:phytophthora-rot 8:brown-spot   +   0.132 
      368 4:phytophthora-rot 8:brown-spot   +   0.132 
      369 4:phytophthora-rot 8:brown-spot   +   0.132 
      370 4:phytophthora-rot 8:brown-spot   +   0.132 
      371 4:phytophthora-rot 8:brown-spot   +   0.132 
      372 4:phytophthora-rot 8:brown-spot   +   0.132 
      373 4:phytophthora-rot 8:brown-spot   +   0.132 
      374 4:phytophthora-rot 8:brown-spot   +   0.132 
      375 4:phytophthora-rot 8:brown-spot   +   0.132 
      376 4:phytophthora-rot 8:brown-spot   +   0.132 
      377 4:phytophthora-rot 8:brown-spot   +   0.132 
      378 4:phytophthora-rot 8:brown-spot   +   0.132 
      379 4:phytophthora-rot 8:brown-spot   +   0.132 
      380 4:phytophthora-rot 8:brown-spot   +   0.132 
      381 4:phytophthora-rot 8:brown-spot   +   0.132 
      382 4:phytophthora-rot 8:brown-spot   +   0.132 
      383 4:phytophthora-rot 8:brown-spot   +   0.132 
      384 4:phytophthora-rot 8:brown-spot   +   0.132 
      385 4:phytophthora-rot 8:brown-spot   +   0.132 
      386 5:brown-stem-rot 8:brown-spot   +   0.132 
      387 5:brown-stem-rot 8:brown-spot   +   0.132 
      388 5:brown-stem-rot 8:brown-spot   +   0.132 
      389 5:brown-stem-rot 8:brown-spot   +   0.132 
      390 5:brown-stem-rot 8:brown-spot   +   0.132 
      391 5:brown-stem-rot 8:brown-spot   +   0.132 
      392 5:brown-stem-rot 8:brown-spot   +   0.132 
      393 5:brown-stem-rot 8:brown-spot   +   0.132 
      394 5:brown-stem-rot 8:brown-spot   +   0.132 
      395 5:brown-stem-rot 8:brown-spot   +   0.132 
      396 5:brown-stem-rot 8:brown-spot   +   0.132 
      397 5:brown-stem-rot 8:brown-spot   +   0.132 
      398 5:brown-stem-rot 8:brown-spot   +   0.132 
      399 5:brown-stem-rot 8:brown-spot   +   0.132 
      400 5:brown-stem-rot 8:brown-spot   +   0.132 
      401 5:brown-stem-rot 8:brown-spot   +   0.132 
      402 5:brown-stem-rot 8:brown-spot   +   0.132 
      403 5:brown-stem-rot 8:brown-spot   +   0.132 
      404 5:brown-stem-rot 8:brown-spot   +   0.132 
      405 5:brown-stem-rot 8:brown-spot   +   0.132 
      406 5:brown-stem-rot 8:brown-spot   +   0.132 
      407 5:brown-stem-rot 8:brown-spot   +   0.132 
      408 5:brown-stem-rot 8:brown-spot   +   0.132 
      409 5:brown-stem-rot 8:brown-spot   +   0.132 
      410 6:powdery-mildew 8:brown-spot   +   0.132 
      411 6:powdery-mildew 8:brown-spot   +   0.132 
      412 6:powdery-mildew 8:brown-spot   +   0.132 
      413 6:powdery-mildew 8:brown-spot   +   0.132 
      414 6:powdery-mildew 8:brown-spot   +   0.132 
      415 6:powdery-mildew 8:brown-spot   +   0.132 
      416 6:powdery-mildew 8:brown-spot   +   0.132 
      417 6:powdery-mildew 8:brown-spot   +   0.132 
      418 6:powdery-mildew 8:brown-spot   +   0.132 
      419 6:powdery-mildew 8:brown-spot   +   0.132 
      420 7:downy-mildew 8:brown-spot   +   0.132 
      421 7:downy-mildew 8:brown-spot   +   0.132 
      422 7:downy-mildew 8:brown-spot   +   0.132 
      423 7:downy-mildew 8:brown-spot   +   0.132 
      424 7:downy-mildew 8:brown-spot   +   0.132 
      425 7:downy-mildew 8:brown-spot   +   0.132 
      426 7:downy-mildew 8:brown-spot   +   0.132 
      427 7:downy-mildew 8:brown-spot   +   0.132 
      428 7:downy-mildew 8:brown-spot   +   0.132 
      429 7:downy-mildew 8:brown-spot   +   0.132 
      430 8:brown-spot 8:brown-spot       0.132 
      431 8:brown-spot 8:brown-spot       0.132 
      432 8:brown-spot 8:brown-spot       0.132 
      433 8:brown-spot 8:brown-spot       0.132 
      434 8:brown-spot 8:brown-spot       0.132 
      435 8:brown-spot 8:brown-spot       0.132 
      436 8:brown-spot 8:brown-spot       0.132 
      437 8:brown-spot 8:brown-spot       0.132 
      438 8:brown-spot 8:brown-spot       0.132 
      439 8:brown-spot 8:brown-spot       0.132 
      440 8:brown-spot 8:brown-spot       0.132 
      441 8:brown-spot 8:brown-spot       0.132 
      442 8:brown-spot 8:brown-spot       0.132 
      443 8:brown-spot 8:brown-spot       0.132 
      444 8:brown-spot 8:brown-spot       0.132 
      445 8:brown-spot 8:brown-spot       0.132 
      446 8:brown-spot 8:brown-spot       0.132 
      447 8:brown-spot 8:brown-spot       0.132 
      448 8:brown-spot 8:brown-spot       0.132 
      449 8:brown-spot 8:brown-spot       0.132 
      450 8:brown-spot 8:brown-spot       0.132 
      451 8:brown-spot 8:brown-spot       0.132 
